Date,Open,High,Low,Close
3-January-2011,2864.93,2894.85,2864.93,2870.59,
4-January-2011,2873.74,2893.42,2833.79,2838.54,
5-January-2011,2839.89,2841.01,2771.27,2780.89,
6-January-2011,2788.09,2805.87,2707.99,2713.74,
7-January-2011,2712.99,2734.61,2658.88,2665.60,
10-January-2011,2670.55,2686.53,2562.13,2570.94,
11-January-2011,2583.54,2594.31,2461.48,2500.61,
12-January-2011,2511.10,2587.15,2467.33,2582.36,
13-January-2011,2580.86,2625.68,2563.14,2596.31,
14-January-2011,2598.71,2614.08,2511.85,2524.31,
17-January-2011,2530.90,2530.90,2451.47,2464.60,
18-January-2011,2473.74,2504.41,2431.82,2472.35,
19-January-2011,2473.25,2523.93,2453.87,2513.44,
20-January-2011,2504.44,2523.73,2476.15,2507.31,
21-January-2011,2500.26,2529.46,2489.06,2494.77,
24-January-2011,2496.12,2523.98,2493.57,2517.59,
25-January-2011,2522.54,2550.23,2483.98,2487.28,
27-January-2011,2486.98,2502.76,2385.24,2398.56,
28-January-2011,2396.61,2396.61,2229.27,2279.62,
31-January-2011,2271.08,2271.08,2186.20,2228.72,
1-February-2011,2232.17,2241.73,2130.52,2138.73,
2-February-2011,2148.33,2240.31,2147.82,2189.97,
3-February-2011,2184.12,2287.33,2177.44,2276.00,
4-February-2011,2255.16,2278.40,2185.53,2199.24,
7-February-2011,2204.04,2247.38,2204.04,2235.95,
8-February-2011,2239.85,2250.96,2158.88,2167.13,
9-February-2011,2154.24,2154.24,2046.56,2084.56,
10-February-2011,2078.56,2084.77,1978.43,2063.16,
11-February-2011,2060.76,2103.67,2018.31,2099.22,
14-February-2011,2106.17,2161.81,2106.17,2141.43,
15-February-2011,2147.05,2147.05,2091.16,2112.90,
16-February-2011,2106.39,2172.01,2082.70,2157.76,
17-February-2011,2155.69,2170.51,2132.02,2138.51,
18-February-2011,2140.73,2156.94,2041.89,2052.11,
21-February-2011,2046.78,2070.01,2010.04,2064.67,
22-February-2011,2054.17,2078.28,2024.04,2051.37,
23-February-2011,2049.30,2082.32,2019.65,2025.25,
24-February-2011,2026.43,2033.53,1946.32,1954.73,
25-February-2011,1963.75,1980.87,1893.17,1956.28,
28-February-2011,1962.63,2032.90,1962.02,1981.65,
1-March-2011,1990.38,2071.68,1990.38,2064.81,
3-March-2011,2062.89,2109.36,2046.34,2072.75,
4-March-2011,2080.58,2099.67,2062.19,2077.46,
7-March-2011,2070.22,2070.96,2015.19,2042.97,
8-March-2011,2045.33,2076.06,2045.33,2070.48,
9-March-2011,2075.36,2111.25,2075.36,2106.44,
10-March-2011,2106.44,2125.76,2084.97,2120.47,
11-March-2011,2116.78,2154.26,2089.37,2103.68,
14-March-2011,2103.39,2125.38,2090.17,2120.19,
15-March-2011,2107.48,2107.48,2043.23,2053.69,
16-March-2011,2062.27,2114.38,2062.27,2104.51,
17-March-2011,2096.53,2104.28,2076.32,2087.71,
18-March-2011,2095.69,2104.63,2045.78,2053.23,
21-March-2011,2059.73,2065.73,2021.94,2034.33,
22-March-2011,2036.99,2082.64,2036.99,2078.84,
23-March-2011,2075.58,2122.63,2071.17,2118.77,
24-March-2011,2124.83,2181.74,2124.83,2178.70,
25-March-2011,2187.13,2247.52,2182.88,2237.87,
28-March-2011,2230.18,2259.43,2222.07,2225.35,
29-March-2011,2223.72,2273.53,2202.97,2244.55,
30-March-2011,2249.28,2323.55,2249.28,2315.13,
31-March-2011,2323.56,2352.85,2289.79,2337.01,
1-April-2011,2336.42,2400.49,2336.42,2397.82,
4-April-2011,2398.70,2413.84,2387.34,2404.85,
5-April-2011,2407.66,2429.77,2383.48,2422.67,
6-April-2011,2415.58,2510.94,2415.58,2499.74,
7-April-2011,2504.18,2555.02,2501.94,2527.78,
8-April-2011,2530.74,2540.69,2447.94,2464.15,
11-April-2011,2459.86,2459.86,2395.75,2402.15,
13-April-2011,2394.46,2447.56,2374.34,2439.90,
15-April-2011,2443.89,2448.99,2390.82,2410.15,
18-April-2011,2410.00,2435.00,2324.72,2333.68,
19-April-2011,2333.24,2344.41,2292.43,2342.05,
20-April-2011,2345.16,2401.77,2323.21,2363.36,
21-April-2011,2371.12,2398.80,2363.11,2381.27,
25-April-2011,2387.31,2388.96,2349.12,2353.23,
26-April-2011,2356.51,2363.16,2337.33,2346.03,
27-April-2011,2357.75,2364.08,2306.89,2309.60,
28-April-2011,2310.81,2310.81,2231.99,2239.68,
29-April-2011,2241.75,2259.78,2159.16,2180.10,
2-May-2011,2182.34,2219.38,2160.70,2204.99,
3-May-2011,2201.89,2204.97,2137.05,2140.90,
4-May-2011,2141.24,2154.32,2104.09,2126.47,
5-May-2011,2129.75,2143.59,2060.78,2065.07,
6-May-2011,2073.00,2100.13,2064.09,2094.98,
9-May-2011,2103.25,2114.67,2081.58,2090.27,
10-May-2011,2092.85,2125.09,2081.65,2113.59,
11-May-2011,2115.66,2151.02,2115.66,2143.12,
12-May-2011,2135.53,2167.34,2129.35,2153.33,
13-May-2011,2154.36,2195.93,2147.90,2177.56,
16-May-2011,2175.87,2175.87,2140.31,2145.61,
17-May-2011,2144.94,2151.51,2114.32,2140.10,
18-May-2011,2137.05,2144.30,2105.20,2120.45,
19-May-2011,2120.45,2123.45,2051.64,2059.61,
20-May-2011,2060.96,2095.40,2051.03,2086.56,
23-May-2011,2078.69,2080.87,2017.88,2028.36,
24-May-2011,2029.70,2043.06,1983.15,2016.50,
25-May-2011,1989.92,2002.87,1970.41,1990.14,
26-May-2011,1995.79,2026.07,1981.54,2014.79,
